Student_ID,Sleep_Hours,Stress_Level,Year,Major,Use_Sleep_Tech,Sleep_Issues,GPA
STUD001,7.1,3,3rd,Arts,Yes,Yes,3.76
STUD002,6.3,7,3rd,Commerce,No,No,3.68
STUD003,7.3,9,1st,Science,No,No,3.59
STUD004,8.3,7,3rd,Commerce,Yes,Yes,3.4
STUD005,6.2,3,3rd,Arts,No,Yes,3.72
STUD006,6.2,3,2nd,Science,No,No,3.77
STUD007,8.4,9,2nd,Science,Yes,Yes,3.37
STUD008,7.4,3,4th,Science,No,Yes,3.88
STUD009,5.9,3,1st,Commerce,Yes,No,3.64
STUD010,7.2,6,3rd,Arts,No,No,3.47
STUD011,5.9,9,3rd,Science,No,No,3.4
STUD012,5.9,5,4th,Science,No,Yes,3.64
STUD013,6.8,5,3rd,Science,Yes,No,3.93
STUD014,4.2,3,1st,Commerce,No,Yes,3.5
STUD015,4.4,5,4th,Commerce,Yes,Yes,2.95
STUD016,5.8,5,1st,Arts,Yes,No,3.32
STUD017,5.3,3,4th,Commerce,Yes,No,3.61
STUD018,6.9,5,4th,Science,No,No,3.83
STUD019,5.4,7,2nd,Arts,No,No,3.43
STUD020,4.8,4,1st,Science,Yes,No,4.0
STUD021,8.3,9,3rd,Science,No,Yes,3.66
STUD022,6.2,4,3rd,Commerce,Yes,Yes,3.87
STUD023,6.6,3,1st,Arts,No,Yes,3.96
STUD024,4.8,6,3rd,Commerce,Yes,Yes,3.39
STUD025,5.8,9,3rd,Commerce,No,No,3.25
STUD026,6.6,3,1st,Arts,Yes,Yes,3.92
STUD027,5.1,6,4th,Science,No,No,3.17
STUD028,7.0,4,1st,Science,Yes,No,3.75
STUD029,5.8,3,4th,Arts,Yes,No,3.51
STUD030,6.1,9,3rd,Science,Yes,No,3.39
STUD031,5.8,9,3rd,Arts,No,No,3.77
STUD032,8.7,8,3rd,Arts,No,Yes,3.23
STUD033,6.5,7,2nd,Commerce,Yes,Yes,3.69
STUD034,5.2,5,4th,Arts,No,No,3.07
STUD035,7.5,6,2nd,Commerce,No,Yes,3.61
STUD036,5.0,8,2nd,Science,No,Yes,3.42
STUD037,6.8,5,1st,Science,No,No,3.72
STUD038,4.1,5,2nd,Science,Yes,Yes,2.95
STUD039,4.9,3,1st,Science,Yes,No,3.29
STUD040,6.7,5,1st,Commerce,No,No,3.83
STUD041,7.4,7,2nd,Science,No,No,3.5
STUD042,6.7,9,4th,Arts,No,Yes,3.53
STUD043,6.4,8,4th,Arts,Yes,Yes,3.49
STUD044,6.1,5,4th,Arts,Yes,No,3.44
STUD045,4.7,3,4th,Commerce,No,Yes,3.82
STUD046,5.6,7,4th,Science,No,No,3.5
STUD047,5.9,4,2nd,Science,No,No,3.17
STUD048,7.8,9,2nd,Science,No,No,3.59
STUD049,6.9,9,3rd,Commerce,No,Yes,3.4
STUD050,4.4,8,4th,Arts,Yes,Yes,3.25
